,date,lable,text
1204,20151009,1.0074518276819908,0.7882926829268293
1203,20151012,1.0477122148605926,0.8551992225461614
1202,20151013,1.0896409889569396,0.7773851590106008
1201,20151014,1.1264954967065406,0.6843373493975904
1200,20151015,1.1586133047784704,0.6627737226277373
1199,20151016,1.1739592559787362,0.7283049472830495
1198,20151019,1.1648303217276277,0.6747081712062257
1197,20151020,1.1662127734340626,0.683371298405467
1196,20151029,1.1896754008603776,0.7482993197278912
1195,20151030,1.1997430956968473,0.7807692307692308
1194,20151102,1.1894932746806475,0.6828358208955224
1193,20151103,1.2078068309770993,0.7182596291012839
1192,20151104,1.2285408608344934,0.6802853437094682
1191,20151105,1.2227152452676517,0.6627680311890838
1190,20151106,1.2145387216229218,0.6333129957291032
1189,20151109,1.229048055102117,0.6089781453041938
1188,20151110,1.2199238528869125,0.5596133190118152
1187,20151111,1.1970346345418692,0.5304659498207884
1186,20151112,1.1932038465924162,0.5485338725985843
1185,20151113,1.183465628276167,0.5218658892128281
1184,20151116,1.1834040199151716,0.598921832884097
1183,20151117,1.1774516587159924,0.6181506849315068
1182,20151118,1.164246856648769,0.549468085106383
1181,20151119,1.1435389656646202,0.5384615384615384
1180,20151120,1.12674566229369,0.524
1179,20151123,1.0997592379357226,0.543979057591623
1178,20151124,1.0839779005524819,0.5157843613404565
1177,20151125,1.0837256908904767,0.5116822429906542
1176,20151126,1.0796078563487475,0.5385370643102602
1175,20151127,1.0596970001003267,0.48669950738916257
1174,20151130,1.0443366126030267,0.4700047236655644
1173,20151201,1.0283671510376973,0.4559090909090909
1172,20151202,1.003199525018962,0.44116331096196865
1171,20151203,0.9808695652173872,0.5019880715705765
1170,20151204,0.9984353608449008,0.554945054945055
1169,20151207,1.0203685741998019,0.6357103372028745
1168,20151208,1.0318937303471691,0.6775184275184274
1167,20151209,1.0414299393552466,0.6670846394984327
1166,20151210,1.051656640886084,0.6607470912431108
1165,20151211,1.0355359017592933,0.6638709677419354
1164,20151214,1.013680410412308,0.7598566308243728
1163,20151215,1.006982401819843,0.8598726114649682
1162,20151216,1.008239416611417,0.813777441332324
1161,20151217,1.016415094339618,0.9613120269133725
1160,20151218,1.0419678903389307,1.1130841121495327
1159,20151221,1.0701563519940274,1.0813852813852813
1158,20151222,1.0916002225106574,1.120328167730173
1157,20151223,1.1019276960029518,0.9664429530201342
1156,20151224,1.1077829609624312,0.9843492586490938
1155,20151225,1.1017223972833194,0.9275019700551616
1154,20151228,1.0748844753190274,0.7886819484240687
1153,20151229,1.0529212143446716,0.7808123249299721
