,ts_code,symbol,name,area,industry,market,list_date
54,000089.SZ,000089,深圳机场,深圳,机场,主板,19980420
55,000090.SZ,000090,天健集团,深圳,建筑工程,主板,19990721
56,000096.SZ,000096,广聚能源,深圳,石油贸易,主板,20000724
57,000099.SZ,000099,中信海直,深圳,空运,主板,20000731
58,000100.SZ,000100,TCL科技,广东,元器件,主板,20040130
59,000150.SZ,000150,宜华健康,广东,医疗保健,主板,20000807
60,000151.SZ,000151,中成股份,北京,商贸代理,主板,20000906
61,000153.SZ,000153,丰原药业,安徽,化学制药,主板,20000920
62,000155.SZ,000155,川能动力,四川,新型电力,主板,20000926
63,000156.SZ,000156,华数传媒,浙江,影视音像,主板,20000906
64,000157.SZ,000157,中联重科,湖南,工程机械,主板,20001012
65,000158.SZ,000158,常山北明,河北,纺织,主板,20000724
66,000159.SZ,000159,国际实业,新疆,石油贸易,主板,20000926
67,000166.SZ,000166,申万宏源,新疆,证券,主板,20150126
68,000301.SZ,000301,东方盛虹,江苏,化纤,主板,20000529
69,000333.SZ,000333,美的集团,广东,家用电器,主板,20130918
70,000338.SZ,000338,潍柴动力,山东,汽车配件,主板,20070430
71,000400.SZ,000400,许继电气,河南,电气设备,主板,19970418
72,000401.SZ,000401,冀东水泥,河北,水泥,主板,19960614
73,000402.SZ,000402,金融街,北京,全国地产,主板,19960626
74,000403.SZ,000403,派林生物,山西,生物制药,主板,19960628
75,000404.SZ,000404,长虹华意,江西,专用机械,主板,19960619
76,000407.SZ,000407,胜利股份,山东,供气供热,主板,19960703
77,000408.SZ,000408,*ST藏格,青海,农药化肥,主板,19960628
78,000409.SZ,000409,山东地矿,山东,综合类,主板,19960627
79,000410.SZ,000410,*ST沈机,辽宁,机床制造,主板,19960718
80,000411.SZ,000411,英特集团,浙江,医药商业,主板,19960716
81,000413.SZ,000413,东旭光电,河北,元器件,主板,19960925
82,000415.SZ,000415,渤海租赁,新疆,多元金融,主板,19960716
83,000416.SZ,000416,民生控股,山东,多元金融,主板,19960719
84,000417.SZ,000417,合肥百货,安徽,百货,主板,19960812
85,000419.SZ,000419,通程控股,湖南,百货,主板,19960816
86,000420.SZ,000420,吉林化纤,吉林,化纤,主板,19960802
87,000421.SZ,000421,南京公用,江苏,供气供热,主板,19960806
88,000422.SZ,000422,ST宜化,湖北,农药化肥,主板,19960815
89,000423.SZ,000423,东阿阿胶,山东,中成药,主板,19960729
90,000425.SZ,000425,徐工机械,江苏,工程机械,主板,19960828
91,000426.SZ,000426,兴业矿业,内蒙,铅锌,主板,19960828
92,000428.SZ,000428,华天酒店,湖南,酒店餐饮,主板,19960808
93,000429.SZ,000429,粤高速A,广东,路桥,主板,19980220
94,000430.SZ,000430,张家界,湖南,旅游景点,主板,19960829
95,000488.SZ,000488,晨鸣纸业,山东,造纸,主板,20001120
96,000498.SZ,000498,山东路桥,山东,建筑工程,主板,19970609
97,000501.SZ,000501,鄂武商A,湖北,百货,主板,19921120
98,000502.SZ,000502,绿景控股,广东,综合类,主板,19921123
99,000503.SZ,000503,国新健康,海南,医疗保健,主板,19921130
100,000504.SZ,000504,ST生物,湖南,环境保护,主板,19921208
101,000505.SZ,000505,京粮控股,海南,食品,主板,19921221
102,000506.SZ,000506,中润资源,山东,黄金,主板,19930312
103,000507.SZ,000507,珠海港,广东,港口,主板,19930326
104,000509.SZ,000509,*ST华塑,四川,医疗保健,主板,19930507
105,000510.SZ,000510,新金路,四川,化工原料,主板,19930507
106,000513.SZ,000513,丽珠集团,广东,化学制药,主板,19931028
107,000514.SZ,000514,渝开发,重庆,区域地产,主板,19930712
108,000516.SZ,000516,国际医学,陕西,医疗保健,主板,19930809
