,基金代码,基金简称,类型,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,增长值,增长率,市价,折价率
67,510170,国联安上证商品ETF行情,指数型-股票,3.0730,0.9530,3.0940,0.9600,-0.0210,-0.68%,3.0650,0.26%
68,515700,平安中证新能源汽车产业ETF行情,指数型-股票,3.0179,3.0179,3.1635,3.1635,-0.1456,-4.60%,3.0140,0.13%
69,159806,国泰中证新能源汽车ETF行情,指数型-股票,3.0048,3.0048,3.1466,3.1466,-0.1418,-4.51%,3.0020,0.09%
70,510880,华泰柏瑞上证红利ETF行情,指数型-股票,2.8557,2.4846,2.8525,2.4825,0.0032,0.11%,2.8540,0.06%
71,513660,华夏沪港通恒生ETF行情,QDII,2.6558,1.3788,2.6711,1.3868,-0.0153,-0.57%,2.6430,0.48%
72,513600,南方恒指ETF行情,QDII,2.6214,1.3596,2.6379,1.3681,-0.0165,-0.63%,2.6180,0.13%
73,159929,汇添富中证医药卫生ETF行情,指数型-股票,2.5466,2.5466,2.5305,2.5305,0.0161,0.64%,2.5450,0.06%
74,159905,工银深证红利ETF行情,指数型-股票,2.5219,2.5219,2.5389,2.5389,-0.0170,-0.67%,2.5170,0.19%
75,159910,嘉实深证基本面120ETF行情,指数型-股票,2.4947,2.4947,2.5154,2.5154,-0.0207,-0.82%,2.4830,0.47%
76,512120,华安中证细分医药ETF行情,指数型-股票,2.4430,2.4430,2.4250,2.4250,0.0180,0.74%,2.4420,0.04%
77,159925,南方沪深300ETF行情,指数型-股票,2.4228,2.1241,2.4508,2.1487,-0.0280,-1.14%,2.4220,0.03%
78,512770,华夏战略新兴成指ETF行情,指数型-股票,2.4153,2.4153,2.4344,2.4344,-0.0191,-0.78%,2.4090,0.26%
79,510090,建信责任ETF行情,指数型-股票,2.4070,2.8715,2.4393,2.9100,-0.0323,-1.32%,2.4410,-1.41%
80,159933,国投瑞银金融地产ETF行情,指数型-股票,2.4011,2.4011,2.4431,2.4431,-0.0420,-1.72%,2.3960,0.21%
81,159961,方正富邦深证100ETF行情,指数型-股票,2.3862,2.3862,2.4046,2.4046,-0.0184,-0.77%,2.3890,-0.12%
82,159913,交银深证300价值ETF行情,指数型-股票,2.3750,2.3750,2.3910,2.3910,-0.0160,-0.67%,2.3990,-1.01%
