,基金代码,拼音缩写,基金简称,基金类型,拼音全称
857,001152,RTXQYXJJLHPZHH,融通新区域新经济灵活配置混合,混合型-灵活,RONGTONGXINQUYUXINJINGJILINGHUOPEIZHIHUNHE
858,001153,RTXQYXJJLHPZHH,融通新区域新经济灵活配置混合(后端),混合型-灵活,RONGTONGXINQUYUXINJINGJILINGHUOPEIZHIHUNHE
859,001154,BXRFPAZG,北信瑞丰平安中国,混合型-灵活,BEIXINRUIFENGPINGANZHONGGUO
860,001156,SWLXXNYQCHH,申万菱信新能源汽车混合,混合型-灵活,SHENWANLINGXINXINNENGYUANQICHEHUNHE
861,001157,GLARQLHPZHH,国联安睿祺灵活配置混合,混合型-灵活,GUOLIANANRUIQILINGHUOPEIZHIHUNHE
862,001158,GYXCLXNYGP,工银新材料新能源股票,股票型,GONGYINXINCAILIAOXINNENGYUANGUPIAO
863,001162,QHKYYSLCGPA,前海开源优势蓝筹股票A,股票型,QIANHAIKAIYUANYOUSHILANCHOUGUPIAOA
864,001163,YHZGM30GP,银华中国梦30股票,股票型,YINHUAZHONGGUOMENG30GUPIAO
865,001164,ZOQHLHPZHHA,中欧琪和灵活配置混合A,混合型-灵活,ZHONGOUQIHELINGHUOPEIZHIHUNHEA
866,001165,ZOQHLHPZHHC,中欧琪和灵活配置混合C,混合型-灵活,ZHONGOUQIHELINGHUOPEIZHIHUNHEC
867,001166,JXHBCYGP,建信环保产业股票,股票型,JIANXINHUANBAOCHANYEGUPIAO
868,001167,JYKJCXGP,金鹰科技创新股票,股票型,JINYINGKEJICHUANGXINGUPIAO
869,001170,TDHLFXHH,泰达宏利复兴混合,混合型-灵活,TAIDAHONGLIFUXINGHUNHE
870,001171,GYYLCYGPA,工银养老产业股票A,股票型,GONGYINYANGLAOCHANYEGUPIAOA
871,001172,PHHZHHA,鹏华弘泽混合A,混合型-灵活,PENGHUAHONGZEHUNHEA
872,001173,ZOJHLHPZHHA,中欧瑾和灵活配置混合A,混合型-灵活,ZHONGOUJINHELINGHUOPEIZHIHUNHEA
