,基金代码,基金简称,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
9505,009652,海富通成长甄选混合C,1.5222,1.5222,1.5674,1.5674,-0.0452,-2.88,限大额,开放赎回,0.00%
9506,009885,新华景气行业混合A,1.1433,1.1433,1.1772,1.1772,-0.0339,-2.88,开放申购,开放赎回,0.15%
9507,009886,新华景气行业混合C,1.1387,1.1387,1.1725,1.1725,-0.0338,-2.88,开放申购,开放赎回,0.00%
9508,005983,上投摩根核心精选,2.8637,2.8637,2.9488,2.9488,-0.0851,-2.89,开放申购,开放赎回,0.15%
9509,001281,长安鑫利优选混合A,2.7605,2.7605,2.8426,2.8426,-0.0821,-2.89,开放申购,开放赎回,0.15%
9510,002537,平安安盈灵活配置混合,2.7287,2.7287,2.8098,2.8098,-0.0811,-2.89,开放申购,开放赎回,0.12%
9511,002072,长安鑫利优选混合C,2.7075,2.7075,2.7882,2.7882,-0.0807,-2.89,开放申购,开放赎回,0.00%
9512,001075,宝盈转型动力混合,1.0410,1.0410,1.0720,1.0720,-0.0310,-2.89,开放申购,开放赎回,0.15%
9513,630016,华商价值共享混合发起式,4.4170,4.7770,4.5490,4.9090,-0.1320,-2.90,开放申购,开放赎回,0.15%
9514,011458,东方鑫享价值成长一年持有混合A,1.0816,1.0816,1.1141,1.1141,-0.0325,-2.92,开放申购,开放赎回,0.15%
9515,519672,银河蓝筹混合,5.6280,5.6280,5.7980,5.7980,-0.17,-2.93,开放申购,开放赎回,0.15%
9516,005368,富国清洁能源产业混合A,2.3265,2.3265,2.3967,2.3967,-0.0702,-2.93,开放申购,开放赎回,0.15%
9517,011127,富国清洁能源产业混合C,2.3201,2.3201,2.3901,2.3901,-0.07,-2.93,开放申购,开放赎回,0.00%
9518,009913,中信保诚成长动力,1.3934,1.3934,1.4354,1.4354,-0.0420,-2.93,开放申购,开放赎回,0.15%
9519,011459,东方鑫享价值成长一年持有混合C,1.0807,1.0807,1.1133,1.1133,-0.0326,-2.93,开放申购,开放赎回,0.00%
9520,001220,民生加银研究精选混合,1.8370,1.8370,1.8930,1.8930,-0.0560,-2.96,开放申购,开放赎回,0.15%
9521,003984,嘉实新能源新材料股票A,3.4881,3.4881,3.5947,3.5947,-0.1066,-2.97,开放申购,开放赎回,0.15%
9522,003985,嘉实新能源新材料股票C,3.4358,3.4358,3.5408,3.5408,-0.1050,-2.97,开放申购,开放赎回,0.00%
9523,006751,富国互联科技股票A,3.1149,3.1149,3.2102,3.2102,-0.0953,-2.97,开放申购,开放赎回,0.15%
9524,011126,富国互联科技股票C,3.1056,3.1056,3.2007,3.2007,-0.0951,-2.97,开放申购,开放赎回,0.00%
9525,010342,招商产业精选股票C,1.0438,1.0438,1.0758,1.0758,-0.0320,-2.97,开放申购,开放赎回,0.00%
9526,167001,平安鼎泰混合(LOF),1.9427,1.9427,2.0023,2.0023,-0.0596,-2.98,开放申购,开放赎回,0.15%
